JOIA,10689595.78,8566,1247.909850572029,1238.918,0.686,13.89,42459690.519999996,32533973.25,61671.49
JULIO DE CASTILHOS,20298065.14,19224,1055.8710538909697,1929.544,0.716,12.45,77913771.44,63239138.36,67506.41
LAGOA BONITA DO SUL,2106437.88,2921,721.13587127696,109.281,0.67,37.04,13940653.25,12121717.81,20740.88
LAGOA DOS TRES CANTO,3263777.08,6461,505.1504534901718,387.455,0.643,15.38,22550250.33,18523427.479999997,17328.85
LAGOA VERMELHA,19829276.929999996,1607,12339.313584318603,138.602,0.789,83.33,17057220.66,12815482.72,58589.01
LAGOAO,2536045.3699999996,27778,91.29690294477643,1260.227,0.738,10.15,76755624.41000001,79573800.07,41824.19
LAJEADO,47608801.510000005,85033,559.8861796008609,91.231,0.778,4.01,313426429.33000004,257293542.68,51129.4
LAJEADO DO BUGRE,1202955.8999999997,2566,468.8058846453623,67.947,0.613,27.78,13959004.91,11219606.91,19110.67
LAVRAS DO SUL,8384343.029999999,7444,1126.3222770016118,2600.969,0.699,13.89,40036162.470000006,32066327.62,33585.41
LIBERATO SALZANO,3962507.0600000005,5152,769.1201591614907,245.627,0.685,16.39,21566552.28,18628829.430000003,26530.72
LINDOLFO COLLOR,3668635.6999999997,6125,598.9609306122449,33.351,0.712,12.05,26316343.3,18835380.11,49614.84
LINHA NOVA,2034212.4400000002,1719,1183.369656777196,63.502,0.749,142.86,12244826.709999999,9721991.379999999,28231.24
MACAMBARA,10924361.93,5427,2012.9651612308826,335.198,0.692,27.03,22641841.26,20367881.79,32759.17
MACHADINHO,3846387.44,4562,843.1362209557211,1682.82,0.684,32.79,26115049.419999998,17242523.62,53206.04
